OVERALL,PICK,PLAYER,MLB,POS,BID,TEAM,OWNER
1,1.1,Kyle Tucker,HOU,CF,38,Ryan Hallam,Fantasy Alarm
2,1.2,Seiya Suzuki,CHC,LF,10,Brian Feldman,FantasyBaseballAuctioneer.com
3,1.3,Jose Ramirez,CLE,3B,42,Shelly Verougstraete,NBC Sports Edge
4,1.4,Dylan Cease,CWS,SP,18,Ryan Hallam,Fantasy Alarm
5,1.5,Aaron Judge,NYY,RF,44,Doug Anderson,Fantrax
6,1.6,Juan Soto,SD,RF,39,Shelly Verougstraete,NBC Sports Edge
7,1.7,Gerrit Cole,NYY,SP,30,Ray Murphy,Baseball HQ
8,1.8,Paul Goldschmidt,STL,1B,30,Ryan Hallam,Fantasy Alarm
9,1.9,Jacob DeGrom,TEX,SP,16,Brian Feldman,FantasyBaseballAuctioneer.com
10,1.1,Josh Hader,SD,RP,16,Doug Anderson,Fantrax
11,1.11,Pete Alonso,NYM,1B,32,Carlos Marcano,BP (Marcano) - Northan
12,1.12,Freddie Freeman,LAD,1B,36,Shelly Verougstraete,NBC Sports Edge
13,2.1,Ronald Acuna Jr.,ATL,CF,47,Craig Mish,Sports Grid
14,2.2,Willy Adames,MIL,SS,15,Grey Albright,Razzball
15,2.3,Francisco Lindor,NYM,SS,22,Adam Ronis,Fantasy Alarm
16,2.4,Michael Harris II,ATL,LF,25,Eric Cross,RotoBaller/FTN
17,2.5,J.T. Realmuto,PHI,C,23,Ariel Cohen,Beat the Shift Podcast
18,2.6,Luis Castillo,SEA,SP,23,Nick Pollack,Pitcher List
19,2.7,Corbin Burnes,MIL,SP,29,Eric Cross,RotoBaller/FTN
20,2.8,Austin Riley,ATL,3B,30,Adam Ronis,Fantasy Alarm
21,2.9,Cristian Javier,HOU,SP,20,Doug Anderson,Fantrax
22,2.1,Adley Rutschman,BAL,C,17,Craig Mish,Sports Grid
23,2.11,Shane McClanahan,TB,RP,25,Carlos Marcano,BP (Marcano) - Northan
24,2.12,Tim Anderson,CWS,SS,18,Brian Feldman,FantasyBaseballAuctioneer.com
25,3.1,Julio Rodriguez,SEA,RF,39,Ryan Hallam,Fantasy Alarm
26,3.2,Sean Murphy,ATL,C,12,Nick Pollack,Pitcher List
27,3.3,Daulton Varsho,TOR,RF,20,Adam Ronis,Fantasy Alarm
28,3.4,Shohei Ohtani,LAA,SP,26,Ariel Cohen,Beat the Shift Podcast
29,3.5,Mike Trout,LAA,CF,30,Nick Pollack,Pitcher List
30,3.6,Alek Manoah,TOR,SP,22,Ryan Hallam,Fantasy Alarm
31,3.7,Max Scherzer,NYM,SP,25,Craig Mish,Sports Grid
32,3.8,Matt Olson,ATL,1B,25,Nick Pollack,Pitcher List
33,3.9,Edwin Diaz,NYM,RP,21,Ariel Cohen,Beat the Shift Podcast
34,3.1,Alejandro Kirk,TOR,C,13,Grey Albright,Razzball
35,3.11,Alexis Diaz,CIN,RP,9,Grey Albright,Razzball
36,3.12,Manny Machado,SD,3B,33,Brian Feldman,FantasyBaseballAuctioneer.com
37,4.1,Jazz Chisholm Jr.,MIA,2B,27,Grey Albright,Razzball
38,4.2,Matt Chapman,TOR,3B,10,Brian Feldman,FantasyBaseballAuctioneer.com
39,4.3,Trea Turner,PHI,SS,41,Eric Cross,RotoBaller/FTN
40,4.4,Rafael Devers,BOS,3B,28,Doug Anderson,Fantrax
41,4.5,Vladimir Guerrero Jr.,TOR,1B,32,Grey Albright,Razzball
